iitem,iname,date,index,avgprice,upt
-2030,Large Big Burger,23/05/05 0:00,1,13273,14.35970021
-2020,Double Cheeseburger,23/05/05 0:00,0.910947035,12091,15.47226523
-2010,Cheeseburger,23/05/05 0:00,0.6845304,9085.772,54.31487371
-2114,Nuggets,30/05/05 0:00,0.757455338,10053.7047,4.941402977
-2054,2-pc Chicken,30/05/05 0:00,0.885595186,11754.5049,90.80320797
-2045,Chicken Burger,30/05/05 0:00,0.724350689,9614.3067,16.657522
-2030,Large Big Burger,30/05/05 0:00,1,13273,14.34781037
-2020,Double Cheeseburger,30/05/05 0:00,0.910947035,12091,15.33346256
-2010,Cheeseburger,30/05/05 0:00,0.684686906,9087.8493,54.16651608
-2114,Nuggets,06/06/05 0:00,0.73969713,9818,4.827290281
-2054,2-pc Chicken,06/06/05 0:00,0.890378965,11818,88.03810089
-2045,Chicken Burger,06/06/05 0:00,0.73969713,9818,16.22821409
-2030,Large Big Burger,06/06/05 0:00,1,13273,14.36986509
-2020,Double Cheeseburger,06/06/05 0:00,0.910947035,12091,14.67748653
-2010,Cheeseburger,06/06/05 0:00,0.68656349,9112.7572,55.10840895
-2114,Nuggets,13/06/05 0:00,0.73969713,9818,5.071016493
-2054,2-pc Chicken,13/06/05 0:00,0.890378965,11818,93.01634047
-2045,Chicken Burger,13/06/05 0:00,0.73969713,9818,16.47086511
-2030,Large Big Burger,13/06/05 0:00,1,13273,15.12400059
-2020,Double Cheeseburger,13/06/05 0:00,0.910947035,12091,14.90137835
-2010,Cheeseburger,13/06/05 0:00,0.686659708,9114.0343,56.26458971
-2114,Nuggets,20/06/05 0:00,0.73969713,9818,4.882357232
-2054,2-pc Chicken,20/06/05 0:00,0.890378965,11818,92.61097492
-2045,Chicken Burger,20/06/05 0:00,0.73969713,9818,16.38975133
-2030,Large Big Burger,20/06/05 0:00,1,13273,15.10692346
-2020,Double Cheeseburger,20/06/05 0:00,0.910947035,12091,14.3854319
-2010,Cheeseburger,20/06/05 0:00,0.68693031,9117.626,55.18855508
-2114,Nuggets,27/06/05 0:00,0.73969713,9818,4.792804876
-2054,2-pc Chicken,27/06/05 0:00,0.890378965,11818,92.16358088
-2045,Chicken Burger,27/06/05 0:00,0.73969713,9818,16.66211148
-2030,Large Big Burger,27/06/05 0:00,1,13273,15.35050027
-2020,Double Cheeseburger,27/06/05 0:00,0.910947035,12091,13.77543976
-2010,Cheeseburger,27/06/05 0:00,0.686966488,9118.1062,56.36547039
-1010,1-pc Chicken & Rice,27/06/05 0:00,0.4794696,6364,2.113229663
-2114,Nuggets,04/07/05 0:00,0.73969713,9818,4.944166534
-2054,2-pc Chicken,04/07/05 0:00,0.890378965,11818,94.42802859
-2045,Chicken Burger,04/07/05 0:00,0.73969713,9818,19.68864345
-2030,Large Big Burger,04/07/05 0:00,1,13273,18.79622884
-2020,Double Cheeseburger,04/07/05 0:00,0.910947035,12091,14.55488959
-2010,Cheeseburger,04/07/05 0:00,0.687325827,9122.8757,59.34354035
-2114,Nuggets,11/07/05 0:00,0.73969731,9818.0024,5.040315668
-2054,2-pc Chicken,11/07/05 0:00,0.890379146,11818.0024,91.57053493
-2045,Chicken Burger,11/07/05 0:00,0.739697227,9818.0013,18.59636466
-2030,Large Big Burger,11/07/05 0:00,0.999999744,13272.9966,19.4439606
-2020,Double Cheeseburger,11/07/05 0:00,0.91094696,12090.999,14.80549868
-2010,Cheeseburger,11/07/05 0:00,0.686951993,9117.9138,58.08775224
-2114,Nuggets,18/07/05 0:00,0.739697687,9818.0074,5.287772958
-2054,2-pc Chicken,18/07/05 0:00,0.890379334,11818.0049,78.42228874
-2045,Chicken Burger,18/07/05 0:00,0.739697393,9818.0035,17.36514143
-2030,Large Big Burger,18/07/05 0:00,0.999999465,13272.9929,21.81291194
-2020,Double Cheeseburger,18/07/05 0:00,0.910946824,12090.9972,15.6342273
-2010,Cheeseburger,18/07/05 0:00,0.686898064,9117.198,60.074599
-2114,Nuggets,25/07/05 0:00,0.739697612,9818.0064,4.942709901
-2054,2-pc Chicken,25/07/05 0:00,0.890379349,11818.0051,69.95236156
-2045,Chicken Burger,25/07/05 0:00,0.739697393,9818.0035,16.18290329
-2030,Large Big Burger,25/07/05 0:00,0.999999375,13272.9917,21.26374697
-2020,Double Cheeseburger,25/07/05 0:00,0.910946809,12090.997,16.36176882
-2010,Cheeseburger,25/07/05 0:00,0.686866549,9116.7797,62.67377406
-2114,Nuggets,01/08/05 0:00,0.739697521,9818.0052,4.682966843
-2054,2-pc Chicken,01/08/05 0:00,0.890379304,11818.0045,74.08702317
-2045,Chicken Burger,01/08/05 0:00,0.739697325,9818.0026,16.15842077
-2030,Large Big Burger,01/08/05 0:00,0.999999473,13272.993,20.04800629
-2020,Double Cheeseburger,01/08/05 0:00,0.910946847,12090.9975,16.32482914
-2010,Cheeseburger,01/08/05 0:00,0.688213365,9134.656,60.69703255
-2114,Nuggets,08/08/05 0:00,0.739697634,9818.0067,5.265230059
-2054,2-pc Chicken,08/08/05 0:00,0.890379364,11818.0053,82.72658075
-2045,Chicken Burger,08/08/05 0:00,0.739697423,9818.0039,16.46587399
-2030,Large Big Burger,08/08/05 0:00,0.999999495,13272.9933,19.52282212
-2020,Double Cheeseburger,08/08/05 0:00,0.910946787,12090.9967,15.74844484
-2010,Cheeseburger,08/08/05 0:00,0.688539049,9138.9788,62.08036956
-2114,Nuggets,15/08/05 0:00,0.739697597,9818.0062,5.076901086
-2054,2-pc Chicken,15/08/05 0:00,0.890379319,11818.0047,95.69712095
-2045,Chicken Burger,15/08/05 0:00,0.739697386,9818.0034,16.68805318
-2030,Large Big Burger,15/08/05 0:00,0.999999345,13272.9913,17.51941627
-2020,Double Cheeseburger,15/08/05 0:00,0.910946832,12090.9973,15.39007523
-2010,Cheeseburger,15/08/05 0:00,0.68876019,9141.914,57.39691344
-2114,Nuggets,22/08/05 0:00,0.739697815,9818.0091,5.187113699
-2054,2-pc Chicken,22/08/05 0:00,0.890379349,11818.0051,94.57313361
-2045,Chicken Burger,22/08/05 0:00,0.739697431,9818.004,16.45386432
-2030,Large Big Burger,22/08/05 0:00,0.999999495,13272.9933,17.77458188
-2020,Double Cheeseburger,22/08/05 0:00,0.910946824,12090.9972,15.04461713
-2010,Cheeseburger,22/08/05 0:00,0.68884583,9143.0507,59.45035746
-2114,Nuggets,29/08/05 0:00,0.73969774,9818.0081,4.736802136
-2054,2-pc Chicken,29/08/05 0:00,0.890379364,11818.0053,86.51387817
-2045,Chicken Burger,29/08/05 0:00,0.739697408,9818.0037,15.80041514
